"","shname","gid","stid","discname","discid","semnum","sum"
"331","ИС-Б11",222,3861,"Иностранный язык",2,2,66
"332","ИС-Б11",222,3861,"Иностранный язык",2,3,87
"333","ИС-Б11",222,3861,"Физическая культура",3,2,93
"334","ИС-Б11",222,3861,"Физическая культура",3,3,90
"335","ИС-Б11",222,3861,"Информатика",6,2,60
"336","ИС-Б11",222,3861,"Математический анализ",12,2,35
"337","ИС-Б11",222,3861,"Математический анализ",12,3,60
"338","ИС-Б11",222,3861,"Физика",14,2,65
"339","ИС-Б11",222,3861,"Физика",14,3,60
"340","ИС-Б11",222,3861,"Дискретная математика",23,2,63
"341","ИС-Б11",222,3861,"Математическая логика и теория алгоритмов",24,3,61
"342","ИС-Б11",222,3861,"Философия",26,3,100
"343","ИС-Б11",222,3861,"Информационные технологии",27,3,82
"344","ИС-Б11",222,3861,"Электротехника и электроника",28,3,67
"345","ИС-Б11",222,3861,"Объектно-ориентированное программирование",45,3,88
"346","ИС-Б11",222,3861,"Архитектура ЭВМ и систем",125,3,85
"347","ИС-Б11",222,3861,"Введение в специальность",171,2,95
"348","ИС-Б11",222,3861,"Учебная практика",339,2,95
"349","ИС-Б11",222,3861,"Программирование на языке высокого уровня",913,2,60
"350","ИС-Б11",222,3861,"История",1114,2,90
"351","ИС-Б11",222,3862,"Иностранный язык",2,2,90
"352","ИС-Б11",222,3862,"Иностранный язык",2,3,97
"353","ИС-Б11",222,3862,"Физическая культура",3,2,90
"354","ИС-Б11",222,3862,"Физическая культура",3,3,90
"355","ИС-Б11",222,3862,"Информатика",6,2,75
"356","ИС-Б11",222,3862,"Математический анализ",12,2,75
"357","ИС-Б11",222,3862,"Математический анализ",12,3,65
"358","ИС-Б11",222,3862,"Физика",14,2,65
"359","ИС-Б11",222,3862,"Физика",14,3,75
"360","ИС-Б11",222,3862,"Дискретная математика",23,2,86
"361","ИС-Б11",222,3862,"Математическая логика и теория алгоритмов",24,3,68
"362","ИС-Б11",222,3862,"Философия",26,3,67
"363","ИС-Б11",222,3862,"Информационные технологии",27,3,90
"364","ИС-Б11",222,3862,"Электротехника и электроника",28,3,67
"365","ИС-Б11",222,3862,"Объектно-ориентированное программирование",45,3,89
"366","ИС-Б11",222,3862,"Архитектура ЭВМ и систем",125,3,90
"367","ИС-Б11",222,3862,"Введение в специальность",171,2,95
"368","ИС-Б11",222,3862,"Учебная практика",339,2,95
"369","ИС-Б11",222,3862,"Программирование на языке высокого уровня",913,2,76
"370","ИС-Б11",222,3862,"История",1114,2,90
"371","ИС-Б12",278,4797,"Иностранный язык",2,2,0
"372","ИС-Б12",278,4797,"Иностранный язык",2,3,80
"373","ИС-Б12",278,4797,"Физическая культура",3,2,36
"374","ИС-Б12",278,4797,"Физическая культура",3,3,35
"375","ИС-Б12",278,4797,"Культурология",4,2,80
"376","ИС-Б12",278,4797,"Информатика",6,2,60
"377","ИС-Б12",278,4797,"Математический анализ",12,2,71
"378","ИС-Б12",278,4797,"Физика",14,2,74
"379","ИС-Б12",278,4797,"Физика",14,3,12
"380","ИС-Б12",278,4797,"Программирование на языках высокого уровня",21,2,60
"381","ИС-Б12",278,4797,"Дискретная математика",23,2,65
"382","ИС-Б12",278,4797,"Математическая логика и теория алгоритмов",24,3,63
"383","ИС-Б12",278,4797,"Философия",26,3,90
"384","ИС-Б12",278,4797,"Информационные технологии",27,3,60
"385","ИС-Б12",278,4797,"Объектно-ориентированное программирование",45,3,35
"386","ИС-Б12",278,4797,"Архитектура ЭВМ и систем",125,3,64
"387","ИС-Б12",278,4797,"Введение в специальность",171,2,85
"388","ИС-Б12",278,4797,"Учебная практика",339,2,95
"389","ИС-Б12",278,4832,"Иностранный язык",2,2,90
"390","ИС-Б12",278,4832,"Иностранный язык",2,3,85
"391","ИС-Б12",278,4832,"Физическая культура",3,2,90
"392","ИС-Б12",278,4832,"Физическая культура",3,3,90
"393","ИС-Б12",278,4832,"Культурология",4,2,80
